Time (minutes)	0M, Mean Hog1	0M, Stderror	0.2M, Mean Hog1	0.2M, Stderror	0.4M, Mean Hog1	0.4M, Stderror	0.6M, Mean Hog1	0.6M, Stderror
-2	0.0041452	0.0035469	0.0055019	0.0018988	-0.0016244	0.0023321	0.0017683	0.0011153
-1.3333	9.73E-05	0.0036364	-0.0011245	0.0020041	3.70E-05	0.0020389	-0.0048372	0.0017824
-0.66667	-0.0027722	0.0015098	-0.0046122	0.0010924	-0.00060907	0.0005154	-0.0013812	0.0025921
0	-0.0011599	0.0031768	0.00049669	0.0036656	0.0021853	0.00067368	0.0045937	0.0012539
1	-0.00028946	0.0067923	0.14729	0.019651	0.23421	0.0053642	0.083098	0.0055479
2	-0.003238	0.003816	0.34793	0.012715	0.40858	0.0052401	0.18853	0.021051
3	-0.0037398	0.005936	0.35426	0.014583	0.43914	0.0089146	0.34286	0.017176
4	-0.0030704	0.0049714	0.34343	0.014011	0.46509	0.0028358	0.43445	0.011067
5	-0.0076714	0.009792	0.30768	0.018307	0.4523	0.0020535	0.45229	0.004697
6	-0.0061917	0.0087626	0.2737	0.018633	0.44688	0.0071328	0.44466	0.0081569
7	-0.00083646	0.0071141	0.21785	0.023592	0.43919	0.0016265	0.4461	0.016807
8	0.0016726	0.0060243	0.17029	0.024025	0.42261	0.0054313	0.43979	0.0088963
9	0.0042295	0.0084017	0.12256	0.024564	0.4209	0.0042374	0.4499	0.0069079
10	0.00348	0.0083003	0.081781	0.019225	0.40833	0.0097956	0.44684	0.0044006
11	-0.0012628	0.0045486	0.0579	0.020114	0.38563	0.0079949	0.44316	0.0077305
12	-0.0017671	0.0059834	0.033078	0.014028	0.37125	0.011409	0.44167	0.0061643
13	0.0072132	0.0068551	0.019429	0.014275	0.34536	0.018365	0.45082	0.0072433
14	-0.0035683	0.0069604	0.010155	0.01204	0.31994	0.018204	0.43866	0.0077416
15	8.62E-05	0.0074496	0.0070183	0.0098648	0.281	0.029459	0.42859	0.0021281
16	-0.0048249	0.006829	0.0030899	0.011354	0.24772	0.03607	0.42803	0.0058259
17	0.0028205	0.0062569	-0.004839	0.01013	0.2089	0.038203	0.41818	0.0018918
18	0.0022264	0.0042637	-0.0054449	0.01101	0.17443	0.038793	0.41172	0.0050362
19	-0.00032805	0.0037475	-0.0011745	0.011514	0.13593	0.042775	0.40234	0.015638
20	0.0032478	0.0052131	-0.0046622	0.0071436	0.10357	0.039226	0.38488	0.0086
21	0.0028028	0.0074813	-0.0041845	0.0074564	0.089721	0.032268	0.37902	0.012007
22	0.0063803	0.0040156	-0.007202	0.010195	0.064639	0.025834	0.36695	0.016904
23	-0.0012661	0.0016004	-0.010299	0.0096502	0.048396	0.022022	0.34966	0.022508
24	0.0015061	0.0061299	-0.0045805	0.010388	0.029245	0.01546	0.33591	0.017686
25	0.0037221	0.0073325	-0.015171	0.0091493	0.025905	0.012468	0.32189	0.015526
26	0.0046324	0.0042903	-0.0032204	0.0078066	0.011192	0.011268	0.30341	0.018995
27	0.0021466	0.0068661	-0.0038996	0.0081539	0.005613	0.012154	0.27332	0.022774
28	0.0039348	0.0074596	-0.0047107	0.0097408	0.0079765	0.007128	0.26089	0.022324
29	-0.0013312	0.0095736	-0.01008	0.0092745	0.002506	0.0068657	0.23484	0.023274
30	-0.00044566	0.0050209	-0.0058603	0.0060968	0.0014504	0.0051804	0.21982	0.028838
31	0.003904	0.0040048	-0.004853	0.0073543	-0.0081018	0.0014094	0.18729	0.023429
32	3.13E-05	0.0060312	-0.012369	0.0080466	-0.0077626	0.0038284	0.16718	0.028931
33	0.003807	0.0035378	-0.0081848	0.0039995	-0.0085761	0.0052753	0.13685	0.014586
34	-0.0054938	0.0056984	-0.0038326	0.0040559	-0.010931	0.0013701	0.12397	0.016039
35	0.00062266	0.0070172	-0.008175	0.0033914	-0.0052342	0.0045234	0.1175	0.016794
36	0.0014324	0.0093102	-0.005398	0.0030241	-0.0060811	0.0042218	0.10151	0.019348
37	0.0030532	0.0064169	-0.0021128	0.0080536	-0.0050026	0.0026837	0.083274	0.012914
38	0.0035838	0.0085674	-0.0031194	0.0083346	-0.0078694	0.005896	0.07243	0.011973
39	0.0066658	0.0044613	0.0019435	0.0064236	-0.0040076	0.0062024	0.064408	0.013838
40	0.0050109	0.004272	-0.0013847	0.0047201	-0.00096257	0.0038256	0.051321	0.0090807
41	0.0013797	0.0080924	0.0033596	0.0090348	-0.0059088	0.0083369	0.044617	0.0086961
42	-0.0005576	0.0070957	0.0047082	0.008458	-0.0026068	0.0015081	0.030488	0.011507
43	0.0061268	0.0046059	0.0078009	0.0053523	0.00046189	0.0062083	0.031466	0.012863
44	0.0079709	0.0073874	0.0061096	0.0092936	-0.0069419	0.0030681	0.023696	0.0074995
45	0.0079364	0.0067457	0.0041694	0.0092913	-0.0014874	0.0025968	0.01728	0.0056676
46	0.0028124	0.0044181	-0.0034894	0.0072152	0.0044317	0.00048689	0.0044031	0.0067747
47	4.80E-05	0.0052069	9.83E-05	0.0074153	0.0046821	0.0033704	0.014272	0.002204
48	0.010099	0.0035981	0.0019633	0.0085114	0.0066301	0.004321	0.003893	0.0063835
49	0.010333	0.005806	0.0051197	0.0075079	0.00016087	0.0027381	0.010019	0.002731
50	0.013884	0.0034767	0.0050018	0.012963	0.0026007	0.0030085	0.011828	0.009229
51	0.010272	0.0025535	0.0075451	0.0068447	0.0049981	0.0036241	0.0033899	0.0016637
52	0.01074	0.0050366	0.0011416	0.0085909	0.010246	0.00096463	0.0076394	0.0020654
53	0.0092712	0.0066199	0.0099084	0.0058666	0.01017	0.0016231	0.0078115	0.0068008
54	0.021791	0.0094126	-0.002145	0.0037326	0.0072216	0.0030371	0.011313	0.0050694
55	0.0094703	0.010297	0.0089272	0.0037651	0.0062252	0.0046482	0.016027	0.0039211
56	0.0035127	0.0030572	0.013441	0.004119	0.010529	0.0030556	0.013375	0.0047524
57	0.0097098	0.0070818	0.011268	0.0056019	0.0045327	0.0031281	0.0089928	0.0065473
58	0.012386	0.0044475	0.0094465	0.0064789	0.0094955	0.0017001	0.011843	0.004859
59	0.021179	0.0029245	-0.0027311	0.0063776	0.01573	0.0012472	0.013815	0.0049776
60	0.014609	0.0042206	0.013517	0.0073857	0.016289	0.0063119	0.020976	0.007205
