Time (minutes)	0M, Mean Volume	0M, Stderror	0.2M, Mean Volume	0.2M, Stderror	0.4M, Mean Volume	0.4M, Stderror	0.6M, Mean Volume	0.6M, Stderror
-2	0.0036038	0.0085034	0.0058967	0.00099243	-0.0032106	0.0041024	0.012373	0.0068445
-1.3333	-0.011586	0.0082674	0.0035642	0.0047083	0.0054445	0.00083738	-0.010205	0.015945
-0.66667	-0.0075737	0.0061138	-0.0041334	0.0073277	-0.0013463	0.0048316	-0.0066578	0.0097826
0	0.015809	0.0033848	-0.0050234	0.0085278	-0.00080158	0.0015943	0.0042336	0.0043509
1	0.01056	0.0031467	-0.10167	0.0083328	-0.20184	0.018647	-0.32479	0.0073054
3	0.011645	0.0033443	-0.078468	0.0053205	-0.19547	0.024994	-0.29109	0.0026067
5	0.029264	0.0035878	-0.067454	0.0035927	-0.16552	0.020239	-0.29904	0.012073
7	0.027488	0.0064691	-0.043945	0.0038096	-0.16105	0.021102	-0.30047	0.0059824
9	0.042231	0.0058963	-0.020354	0.009538	-0.13158	0.023393	-0.2743	0.00751
11	0.04845	0.0045095	-0.0065794	0.0074601	-0.11973	0.0096122	-0.24793	0.0034514
13	0.041226	0.0074471	0.0074044	0.0097961	-0.10317	0.011234	-0.22868	0.0039536
15	0.053696	0.013476	0.028188	0.0067417	-0.090362	0.013239	-0.2259	0.0041531
17	0.058483	0.01066	0.035024	0.0097367	-0.063773	0.0071778	-0.20867	0.0042339
19	0.058474	0.0069843	0.04227	0.0086677	-0.060762	0.0068912	-0.20607	0.0081481
21	0.078337	0.0095516	0.048477	0.0079273	-0.043968	0.014618	-0.18353	0.0022387
23	0.081284	0.017848	0.053592	0.017044	-0.01565	0.028076	-0.17393	0.011417
25	0.081378	0.0055288	0.049208	0.022297	-0.0014145	0.0060598	-0.14347	0.0032434
27	0.095564	0.013667	0.070908	0.011143	0.0048211	0.013168	-0.13996	0.0046788
29	0.080786	0.0048027	0.065726	0.007538	0.019945	0.025053	-0.10931	0.0089991
31	0.094634	0.0083814	0.081498	0.010239	0.022267	0.002141	-0.10691	0.0051279
33	0.097821	0.007516	0.088103	0.012354	0.026906	0.0024018	-0.10831	0.020699
35	0.099531	0.012577	0.076218	0.013395	0.046861	0.013349	-0.07335	0.0049257
37	0.12994	0.030219	0.10275	0.014657	0.048617	0.0053351	-0.075154	0.018778
39	0.10709	0.0075615	0.1102	0.019412	0.065423	0.010254	-0.066113	0.014689
41	0.11904	0.011161	0.11407	0.0080302	0.06584	0.012674	-0.060218	0.013512
43	0.11813	0.0090363	0.1205	0.017139	0.050842	0.025134	-0.037788	0.0085572
45	0.12316	0.01343	0.12345	0.013464	0.065716	0.027005	-0.043392	0.0047062
47	0.12068	0.0080484	0.11799	0.016663	0.07366	0.0085482	-0.038467	0.01153
49	0.13734	0.011621	0.14259	0.018202	0.075616	0.004931	-0.031253	0.010831
51	0.1443	0.010542	0.14108	0.013936	0.06743	0.024293	-0.041457	0.0075799
53	0.15127	0.023317	0.14261	0.026937	0.080413	0.023083	-0.028079	0.023607
55	0.13448	0.016101	0.15535	0.01936	0.09478	0.0069863	-0.010685	0.0045693
57	0.14295	0.017143	0.16725	0.028155	0.069436	0.028143	-0.037273	0.016514
59	0.14452	0.020433	0.14142	0.020813	0.09762	0.020201	-0.011659	0.0095269
